Batter Name,Hit Time,Exit Speed (mph),Launch Angle (°),Direction (°),Bearing (°),Distance (ft),TaggedHitType
Paul Toetz,5/6/2023 15:16,107.52,28.54,-27.19,-35.5,444.07,FlyBall
Paul Toetz,5/12/2023 20:04,95.24,32.88,-30.03,-35.22,378.04,FlyBall
Paul Toetz,3/26/2023 15:38,103.83,42.8,-32.49,-33.55,332.48,FlyBall
Paul Toetz,10/20/2022 16:38,109.06,23.73,-18.26,-23.37,421.17,FlyBall
Paul Toetz,5/9/2024 21:43,88.68,30.99,-19.22,-21.24,337.72,FlyBall
Paul Toetz,3/12/2023 16:46,103.97,23.3,-20.37,-17.51,364.08,FlyBall
Paul Toetz,5/13/2023 15:42,82.93,26.97,-19.53,-18.67,301.47,FlyBall
Paul Toetz,3/31/2023 14:39,98.27,31.1,-14.57,-12.92,390.96,FlyBall
Paul Toetz,3/16/2024 15:11,103.67,15.91,-8.79,-13.8,291.03,FlyBall
Paul Toetz,5/18/2023 21:01,85.84,18.74,-14.9,-11.42,288.67,FlyBall
Paul Toetz,3/8/2024 14:50,88.71,40.4,-14.38,-9.45,263.16,FlyBall
Paul Toetz,5/31/2024 14:05,83.98,19.71,-7.07,-2.98,247.29,FlyBall
Paul Toetz,3/17/2023 17:22,341.91,212.7,0,86.07,0,FlyBall
Paul Toetz,2/20/2024 17:27,104.39,24.07,-6.47,0.23,398.2,FlyBall
Paul Toetz,3/23/2024 16:20,94.92,43.28,-7.75,0.35,303.83,FlyBall
Paul Toetz,10/20/2022 16:02,80.26,45.03,-3.73,2.28,267.59,FlyBall
Paul Toetz,5/5/2023 18:23,91.57,29.58,-4.08,3.48,339.79,FlyBall
Paul Toetz,3/8/2024 15:47,90.5,21.85,-2.13,3.87,326.12,FlyBall
Paul Toetz,4/15/2023 14:56,102.1,25.63,-2.33,4.39,412.28,FlyBall
Paul Toetz,3/24/2023 18:42,90.16,42.33,-0.69,8.85,272.3,FlyBall
Paul Toetz,3/11/2023 14:07,85.42,41.73,-4.74,10.28,251.98,FlyBall
Paul Toetz,4/11/2023 18:56,102.08,29.1,-1.88,7.24,390.87,FlyBall
Paul Toetz,3/9/2024 18:50,102.98,19.03,-2.94,8.43,362.4,FlyBall
Paul Toetz,4/2/2024 18:34,93.81,23.83,1.67,11.39,332.14,FlyBall
Paul Toetz,5/17/2024 14:08,75.17,34.18,5.93,15.42,256.17,FlyBall
Paul Toetz,3/10/2023 19:48,70.56,18.84,1.82,24.62,182.11,FlyBall
Paul Toetz,4/28/2023 20:06,97.17,20.21,1.4,13.1,336.32,FlyBall
Paul Toetz,5/6/2023 15:48,104.29,23.2,4.08,12.81,389.89,FlyBall
Paul Toetz,3/9/2024 17:41,101.45,19.41,5.96,15.33,337.96,FlyBall
Paul Toetz,4/11/2023 20:21,88.36,19.45,12.04,22.52,264.6,FlyBall
Paul Toetz,5/14/2023 12:22,94.2,41.15,7.76,18.46,334.23,FlyBall
Paul Toetz,5/11/2024 16:00,92.51,45.78,3.77,22.98,271.31,FlyBall
Paul Toetz,4/15/2023 19:33,80.93,48.36,27.14,34.45,246.39,FlyBall
Paul Toetz,2/28/2024 20:57,93.81,37.5,14.07,26.58,332,FlyBall
Paul Toetz,3/26/2023 12:46,96.12,19.72,14.77,28.79,308.51,FlyBall
Paul Toetz,3/26/2023 17:48,87.87,24.45,22.58,35.33,285.37,FlyBall
Paul Toetz,5/16/2024 18:16,96.21,34.42,22.73,36.65,334.8,FlyBall
Paul Toetz,3/17/2023 12:04,97.94,24.12,24.14,37.56,351.94,GroundBall
Paul Toetz,3/24/2024 13:39,100.23,27.24,22.62,41.98,321.69,GroundBall
Paul Toetz,5/3/2024 20:04,96.36,34.77,27.4,41.62,359.44,GroundBall
Paul Toetz,5/17/2024 13:29,99.75,6.55,-29.64,-31.62,106.4,GroundBall
Paul Toetz,4/2/2024 17:23,106.7,3.84,-36.77,-37.61,84.42,GroundBall
Paul Toetz,5/16/2024 12:39,78.08,7.29,-34.2,-35.45,95.8,GroundBall
Paul Toetz,5/18/2023 19:15,90.8,9.23,-13.8,-15.43,135.7,GroundBall
Paul Toetz,3/17/2023 15:52,102.53,5.3,-14.36,-16.42,124.69,GroundBall
Paul Toetz,4/15/2023 16:33,85.8,6.48,-19.27,-20.98,91.66,GroundBall
Paul Toetz,3/24/2024 14:33,100.43,1.02,-16.12,-18.76,50.73,GroundBall
Paul Toetz,4/12/2024 21:14,105.64,-0.79,-34.77,-35.37,49.63,GroundBall
Paul Toetz,4/27/2024 18:07,101.27,3.24,-21.96,-22.55,68.58,GroundBall
Paul Toetz,3/26/2023 16:52,101.21,-0.82,-25.27,-25.47,48.4,GroundBall
Paul Toetz,4/15/2023 18:02,81.63,-0.02,-25.27,-25.47,48,GroundBall
Paul Toetz,5/9/2024 20:56,90.18,3.65,-20.08,-20.62,72.06,GroundBall
Paul Toetz,5/14/2023 13:46,76.61,1.37,-20.71,-21.05,51.94,GroundBall
Paul Toetz,4/20/2024 16:00,102.58,1.75,-17.39,-17.99,60.81,GroundBall
Paul Toetz,3/25/2024 13:34,100.35,-4.06,-32.26,-34.65,58.64,GroundBall
Paul Toetz,4/19/2023 18:22,105.35,7.33,-5.36,-4.58,178.8,GroundBall
Paul Toetz,3/16/2024 14:14,102.45,-1.77,-18.64,-16.84,42.8,GroundBall
Paul Toetz,5/10/2024 22:14,79.35,5.02,-9.37,-7.96,77.09,GroundBall
Paul Toetz,5/13/2023 18:13,73.96,-4.58,-28.11,-25.19,22.45,GroundBall
Paul Toetz,4/4/2023 20:33,102.92,-3.69,-16.93,-20.2,18.62,GroundBall
Paul Toetz,5/18/2024 14:19,99.9,-1.79,-13.25,-13.28,34.91,GroundBall
Paul Toetz,3/17/2024 15:15,106.72,7.59,-15.92,-16.29,73.09,GroundBall
Paul Toetz,4/23/2024 22:01,98.68,-5.07,-22.12,-22.63,19.21,GroundBall
Paul Toetz,3/19/2023 13:04,97.28,5.33,-4.87,-4.55,92.85,GroundBall
Paul Toetz,2/7/2023 14:39,94.12,-11.98,-7.86,-10.36,25.5,GroundBall
Paul Toetz,10/20/2022 17:10,91.07,-9.65,-44.66,-37,10.75,GroundBall
Paul Toetz,3/10/2024 19:16,97.43,-12.55,-31.81,-30.29,13.75,GroundBall
Paul Toetz,4/2/2023 17:42,53.75,-0.22,-6.14,-7.33,32.52,GroundBall
Paul Toetz,3/16/2024 15:53,59.74,-30.97,-19.32,-6.05,4.23,GroundBall
Paul Toetz,3/23/2024 19:34,105.31,-5.8,-5.13,-11.02,11.02,GroundBall
Paul Toetz,5/4/2024 18:02,87.25,-23.39,-5.32,-0.19,5.02,GroundBall
Paul Toetz,3/30/2024 18:07,79.14,-8.72,-14.66,-10.98,16.35,GroundBall
Paul Toetz,4/15/2023 20:52,85.54,-17.14,-25.39,-15.52,9.1,GroundBall
Paul Toetz,4/18/2023 18:28,82.23,-8.35,-13.55,-9.86,16.17,GroundBall
Paul Toetz,4/26/2024 19:45,91.05,-24.27,-49.25,-28.17,4.96,GroundBall
Paul Toetz,5/12/2023 19:03,84.79,-36.94,-38.06,-27.34,4.8,GroundBall
Paul Toetz,5/3/2024 19:28,97.04,-7.41,-4.57,-5.7,18.83,GroundBall
Paul Toetz,5/5/2023 19:35,89.66,-31.18,-24.65,-17.69,4.52,GroundBall
Paul Toetz,3/31/2024 16:05,55.03,-47.71,-2.63,0,2.63,GroundBall
Paul Toetz,3/9/2024 16:12,56.48,-43.26,-54.39,-22.35,3.2,GroundBall
Paul Toetz,2/27/2024 15:48,70,-53.58,-1.46,-1.46,2.56,GroundBall
Paul Toetz,5/7/2023 13:48,89.71,-22.75,-9.61,-9.61,8.71,GroundBall
Paul Toetz,3/19/2023 14:23,65.24,-26.94,-9.25,-7.59,7.39,GroundBall
Paul Toetz,5/5/2024 15:25,94.79,-20.94,-11.45,-5.17,6.5,GroundBall
Paul Toetz,5/11/2024 14:29,71.91,-21.39,-17.75,-4.89,5.75,GroundBall
Paul Toetz,5/4/2024 17:34,90.63,-12.57,-5.86,-3.96,9.41,GroundBall
Paul Toetz,3/16/2024 15:53,59.74,-30.97,-19.32,-6.05,4.23,GroundBall
Paul Toetz,4/23/2024 19:40,105.31,-5.8,-5.13,-11.02,11.02,GroundBall
Paul Toetz,5/4/2024 18:02,87.25,-23.39,-5.32,-0.19,5.02,GroundBall
Paul Toetz,3/21/2023 17:43,76.31,-74.57,-14.14,10.63,1.14,GroundBall
Paul Toetz,3/31/2023 13:56,88.61,-42.39,0.11,1.27,2.29,GroundBall
Paul Toetz,3/17/2023 16:33,62.22,-39.35,17.06,14.23,3.04,GroundBall
Paul Toetz,5/11/2024 17:15,68.85,-32.42,7.45,12.22,3.59,GroundBall
Paul Toetz,5/14/2023 14:25,85.61,-18.94,17.71,10.55,5.96,GroundBall
Paul Toetz,5/11/2024 15:11,76.46,-34.16,13.27,12.87,5.36,GroundBall
Paul Toetz,4/20/2024 18:18,102.31,-7.5,4.96,6.27,15.26,GroundBall
Paul Toetz,5/5/2024 14:40,96.55,-10.7,12.92,10.03,11.38,GroundBall
Paul Toetz,5/5/2024 14:01,94.52,-7.22,4.05,7.01,16.41,GroundBall
Paul Toetz,5/13/2023 15:07,100.07,-15.16,9.32,13.8,8.67,GroundBall
Paul Toetz,5/7/2023 14:32,94.12,-11.98,7.86,10.36,12.25,GroundBall
Paul Toetz,3/26/2023 12:12,105.15,-10.59,15.31,13,11.17,GroundBall
Paul Toetz,3/12/2024 17:59,65.22,-12.24,7.86,12.21,12.37,GroundBall
Paul Toetz,4/26/2023 21:03,63.58,-7.83,19.47,18.15,14.33,GroundBall
Paul Toetz,4/26/2023 19:56,87,-3.56,7.91,10.71,27.47,GroundBall
Paul Toetz,3/2/2024 15:33,103.31,-6.08,20.68,19.9,17.37,GroundBall
Paul Toetz,3/2/2024 16:52,78.5,-2.57,13.86,15.89,27.5,GroundBall
Paul Toetz,5/10/2024 19:55,96.1,1.14,24.35,26.32,55.39,GroundBall
Paul Toetz,3/26/2023 16:08,98.38,4.69,13.76,16.72,100.18,GroundBall
Paul Toetz,4/20/2024 18:54,83.26,7.76,12.42,16.35,123.8,GroundBall
Paul Toetz,3/15/2023 18:25,68.27,8.73,10.49,13.2,94.82,GroundBall
Paul Toetz,3/10/2024 15:11,102.42,7.25,11.89,17.85,157.15,GroundBall
Paul Toetz,5/10/2024 21:30,82.89,6,26.37,29.54,98.05,GroundBall
Paul Toetz,3/21/2023 17:03,89.88,23.81,-34.08,-42.23,313.63,LineDrive
Paul Toetz,2/17/2024 14:30,110.11,18.55,-30.9,-41.9,300.84,LineDrive
Paul Toetz,4/2/2023 18:45,107.22,15,-38.59,-42.81,252.87,LineDrive
Paul Toetz,5/18/2023 19:16,109.85,19.22,-37.14,-40.93,259.05,LineDrive
Paul Toetz,3/8/2023 19:05,97.17,17.12,-30.76,-37.68,238.17,LineDrive
Paul Toetz,6/2/2024 20:43,109.04,23.26,-20.63,-28.34,259.55,LineDrive
Paul Toetz,3/26/2024 20:21,106.28,15.45,-17.36,-27.41,301.17,LineDrive
Paul Toetz,3/12/2023 15:00,106.17,15.45,-18.78,-27.81,294.32,LineDrive
Paul Toetz,5/9/2023 15:11,106.28,13.54,-17.32,-24.74,301.17,LineDrive
Paul Toetz,5/19/2023 14:28,102.68,11.29,-27.86,-32.69,231.41,LineDrive
Paul Toetz,1/3/2024 19:30,98.42,16.75,-25.67,-33.3,222.74,LineDrive
Paul Toetz,5/8/2023 17:23,109.89,17.01,-11.88,-15.75,373.22,LineDrive
Paul Toetz,5/20/2023 13:18,110.05,8.01,-38,-40.29,125.67,LineDrive
Paul Toetz,4/12/2024 15:35,72,20.54,-18.14,-20.65,185.57,LineDrive
Paul Toetz,2/20/2024 15:55,77.92,20.54,-18.14,-20.65,185.57,LineDrive
Paul Toetz,3/8/2023 20:35,98,4.89,-38.72,-40.04,88.36,LineDrive
Paul Toetz,5/16/2024 18:13,93.99,11.56,-10.52,-9.31,238.17,LineDrive
Paul Toetz,5/12/2023 19:20,97.81,10.39,-14.36,-12.88,163.58,LineDrive
Paul Toetz,5/20/2023 14:33,110.09,10.44,-5.49,-5.71,272.4,LineDrive
Paul Toetz,5/13/2023 13:27,85.88,17.09,-8.11,-5.55,251.3,LineDrive
Paul Toetz,4/28/2023 17:11,100.7,7,-8.74,-4.88,270.77,LineDrive
Paul Toetz,4/13/2024 16:47,81.16,21.34,-5.64,-4.28,272.69,LineDrive
Paul Toetz,5/4/2024 17:05,90.18,17.56,3.54,11.81,278.3,LineDrive
Paul Toetz,3/30/2024 17:20,102.38,14.72,4.43,13.27,273.65,LineDrive
Paul Toetz,2/27/2024 16:31,106.35,17.08,8.55,14.86,269.33,LineDrive
Paul Toetz,5/10/2024 20:19,107.75,15.72,3.43,11.69,353.68,LineDrive
Paul Toetz,3/18/2023 19:43,67.27,11.79,3.17,12.34,92.65,LineDrive
Paul Toetz,3/15/2023 16:34,103.87,16.45,5.07,12.5,350.98,LineDrive
Paul Toetz,4/12/2024 19:12,101.11,11.12,14.2,21.35,232.22,LineDrive
Paul Toetz,4/19/2023 19:21,102.23,16.85,8.95,17.42,321.9,LineDrive
Paul Toetz,4/20/2023 14:19,101.49,14.5,13.02,22.71,272.57,LineDrive
Paul Toetz,3/6/2024 15:19,73.9,20.03,24.58,31.32,206.47,LineDrive
Paul Toetz,4/20/2024 20:32,100,20.03,11.12,21.46,316.82,LineDrive
Paul Toetz,3/24/2023 17:40,100.3,20.6,20.71,38.21,284.78,LineDrive
Paul Toetz,3/23/2024 18:28,96.98,16.19,26.41,37.73,294.42,LineDrive
Paul Toetz,5/5/2024 13:29,101.65,17.13,23.69,36.55,310.72,LineDrive
Paul Toetz,3/1/2024 19:07,95.44,16.91,29.61,41.21,295.51,LineDrive
Paul Toetz,3/21/2023 16:22,401.13,341.7,133.44,0,334,Popup
Paul Toetz,4/4/2023 18:17,86.65,58.53,6.47,3.68,163.25,Popup
Paul Toetz,3/6/2024 20:20,76.4,62.24,22.41,35.48,145.65,Popup
