Batter Name,Exit Speed (mph),Launch Angle (°),Direction (°),Bearing (°),Distance (ft),TaggedHitType
Zach Weaver,102.81,25.57,-19.93,-26.51,438.48,FlyBall
Zach Weaver,94.19,23.75,-24.69,-26.23,363.96,FlyBall
Zach Weaver,111.47,33.72,-16.61,-20.31,428.64,FlyBall
Zach Weaver,109.3,6.22,-18.32,-21.69,132.11,FlyBall
Zach Weaver,89.7,47.09,-10.1,-9.63,283.46,FlyBall
Zach Weaver,88.17,36.94,-9.22,-6.47,294.26,FlyBall
Zach Weaver,95.3,37.44,-9.83,-7.08,355.56,FlyBall
Zach Weaver,95.87,48.02,-5.8,-0.46,293.53,FlyBall
Zach Weaver,56.15,314.29,-44.32,0,0,FlyBall
Zach Weaver,108.67,39.39,-7.02,0.79,401.85,FlyBall
Zach Weaver,84.73,35.16,-7.89,1.87,305.51,FlyBall
Zach Weaver,101.53,34.38,-2.28,1.5,401.78,FlyBall
Zach Weaver,100.56,31.07,-1.44,3.1,361.92,FlyBall
Zach Weaver,92.19,30.5,-4.64,4.33,347.89,FlyBall
Zach Weaver,107.4,21.68,-1.27,5.49,409.04,FlyBall
Zach Weaver,52.06,63.04,31.94,42.04,95.19,FlyBall
Zach Weaver,93.09,35.89,0.79,13.47,308.71,FlyBall
Zach Weaver,70.63,57.16,16.02,27.52,173.7,FlyBall
Zach Weaver,86.19,51.05,9.98,21.04,232.78,FlyBall
Zach Weaver,98.37,39.19,3.34,16.49,318.83,FlyBall
Zach Weaver,99.93,31.6,9.12,13.63,396.9,FlyBall
Zach Weaver,96.24,41.93,9.37,21.66,349.38,FlyBall
Zach Weaver,97.73,30.8,9.24,22.62,366.48,FlyBall
Zach Weaver,90.84,27.16,9.74,20.12,337.72,FlyBall
Zach Weaver,84.83,54.53,23.83,43.99,222.45,FlyBall
Zach Weaver,97.8,6.85,-40.96,-43.67,114.84,GroundBall
Zach Weaver,88.47,4.62,-42.27,-42.27,78.95,GroundBall
Zach Weaver,98,-0.94,-35.15,-35.15,59.63,GroundBall
Zach Weaver,98.8,5.76,-17.69,-18.82,102.01,GroundBall
Zach Weaver,102.07,5.66,-16.61,-18.82,102.81,GroundBall
Zach Weaver,90.63,1.59,-35.36,-34.58,54.41,GroundBall
Zach Weaver,84.38,-2.01,-39.62,-35.53,31.61,GroundBall
Zach Weaver,86.44,-0.39,-36.33,-34.23,51.65,GroundBall
Zach Weaver,100.03,-1.53,-19.61,-19.61,102.81,GroundBall
Zach Weaver,92.84,-0.71,-26.29,-22.11,79.31,GroundBall
Zach Weaver,84.09,-9.57,-44.54,-33.91,15.09,GroundBall
Zach Weaver,92.41,-5.7,-26.39,-22.78,16.34,GroundBall
Zach Weaver,92.81,-8.23,-27.38,-22.32,15.62,GroundBall
Zach Weaver,77.31,-6.29,-23.27,-18.32,19.12,GroundBall
Zach Weaver,99.19,-5.15,-49.91,-35.77,10.05,GroundBall
Zach Weaver,103.27,-5.29,-7.85,-7.66,41.7,GroundBall
Zach Weaver,101.79,-0.47,-10.26,-9.02,29.98,GroundBall
Zach Weaver,90.67,-3.98,-9.07,-2.62,22.61,GroundBall
Zach Weaver,73.6,-30.39,-15.68,-20.82,6.44,GroundBall
Zach Weaver,84.32,-13.6,-5.16,-1.95,46.04,GroundBall
Zach Weaver,74.93,-19.76,-24.56,-19.62,15.93,GroundBall
Zach Weaver,92.67,-5.91,-3.25,-0.92,15.56,GroundBall
Zach Weaver,85.98,-13.9,-23.54,-18.32,8.67,GroundBall
Zach Weaver,63.23,-37.64,-66.92,-18.25,3.92,GroundBall
Zach Weaver,93.31,-16.52,-9.47,-7.65,9.03,GroundBall
Zach Weaver,84.62,-14.83,-6.56,-4.95,7.54,GroundBall
Zach Weaver,73.06,-23.32,-6.75,-3.42,4.64,GroundBall
Zach Weaver,155.19,-14.22,-47.27,-27.48,0,GroundBall
Zach Weaver,99.37,-15.99,2.51,3.74,11.08,GroundBall
Zach Weaver,101,2.44,3.22,6.15,79.71,GroundBall
Zach Weaver,102.91,29.12,-25.6,-36.39,430.3,LineDrive
Zach Weaver,98.85,20.93,-24.72,-25.22,351.75,LineDrive
Zach Weaver,103.29,29.13,-26.32,-29.74,400.46,LineDrive
Zach Weaver,105.53,19.98,-23.62,-32.22,328.34,LineDrive
Zach Weaver,94.77,18,-30.95,-38.43,227.39,LineDrive
Zach Weaver,99.41,20.35,-18.72,-19.73,360.18,LineDrive
Zach Weaver,106.2,11.55,-31.5,-36.27,190.46,LineDrive
Zach Weaver,94.06,8.18,-20.64,-26.51,191.82,LineDrive
Zach Weaver,84.23,24.24,-21.42,-16.07,272.56,LineDrive
Zach Weaver,96.8,18.32,-17.89,-11.88,347.23,LineDrive
Zach Weaver,101.49,7.3,-32.87,-35.3,120.49,LineDrive
Zach Weaver,105.27,7.51,-25.99,-29.87,233.91,LineDrive
Zach Weaver,102.12,26.61,-9.8,-8.79,429.48,LineDrive
Zach Weaver,98.5,6.86,-21.59,-24.21,185.56,LineDrive
Zach Weaver,111.57,5.71,-19.75,-22,137.96,LineDrive
Zach Weaver,105.36,22.44,-9.46,-1.62,437.36,LineDrive
Zach Weaver,102.93,9.88,-9.41,-1.54,144.08,LineDrive
Zach Weaver,81.52,5.4,-1.87,-0.16,75.05,LineDrive
Zach Weaver,81.52,5.4,-1.87,-0.16,75.05,LineDrive
Zach Weaver,111.64,22.82,-32.51,0,0,LineDrive
Zach Weaver,97,11.95,14.75,23.69,225.18,LineDrive
Zach Weaver,108.31,17.98,5.38,14.84,381.26,LineDrive
Zach Weaver,96.61,17.09,23.1,37.08,261.13,LineDrive
Zach Weaver,95.85,46.05,16.82,29.59,366.57,LineDrive
Zach Weaver,89.86,24,31.8,42.29,332.28,LineDrive
Zach Weaver,98.76,19.76,31.93,44.38,371.48,LineDrive
Zach Weaver,85.84,64.99,35.72,0,0,Popup
Zach Weaver,51.72,62.81,15.26,19.35,104.87,Popup
Zach Weaver,48.31,38.45,38.57,44.47,130.59,Popup
Zach Weaver,60.59,41.87,27.22,34.77,194.97,Popup
Zach Weaver,65.6,64.45,35.11,58.62,137.67,Popup
